20753607-7,Maria Hernandez,TX-000001,22264772-1,Daniela Silva,004,BCI,354871.76,CLP,29/07/2025
21374146-0,Valentina Araya,TX-000002,21580794-5,Paula Martinez,002,Banco Chile,69456.2,CLP,20/07/2025
21238339-1,Juan Soto,TX-000003,12067292-5,Nicole Araya,004,BCI,314911.24,USD,01/08/2025
12789733-2,Daniela Sepulveda,TX-000004,18670839-5,Juan Martinez,003,Santander,465035.66,USD,21/07/2025
23639135-3,Carolina Rodriguez,TX-000001,13064682-4,Andres Fuentes,003,Santander,335042.72,CLP,01/08/2025
22355332-5,Manuel Soto,TX-000006,24669313-5,Paula Contreras,004,BCI,394258.92,USD,02/08/2025
21999474-0,Manuel Rojas,TX-000007,22451671-2,Manuel Vargas,003,Santander,258682.56,CLP,06/08/2025
12479882-5,Alejandra Martinez,TX-000008,16269003-9,Jose Rodriguez,003,Santander,267060.38,CLP,10/07/2025
19989433-7,Francisco Castillo,TX-000009,14265928-0,Felipe Torres,004,BCI,475923.08,CLP,09/07/2025
20320328-1,Andres Fuentes,TX-000010,14393881-5,Francisco Soto,001,Banco Estado,75062.62,CLP,18/07/2025
15296896-9,Jose Sepulveda,TX-000011,17806657-1,Paula Torres,004,BCI,118045.31,CLP,03/08/2025
20378340-8,Paula Rojas,TX-000012,21532395-0,Francisco Lopez,002,Banco Chile,265857.73,USD,16/07/2025
23301938-3,Paula Castillo,TX-000013,18410341-5,Pedro Morales,002,Banco Chile,381063.11,USD,28/07/2025
20951670-0,Manuel Martinez,TX-000014,24876154-2,Maria Hernandez,003,Santander,461729.79,CLP,22/07/2025
10097463-2,Ricardo Fuentes,TX-000015,10301688-9,Juan Martinez,002,Banco Chile,171005.72,CLP,20/07/2025
10856248-1,Fernanda Vargas,TX-000016,21196449-4,Felipe Sepulveda,003,Santander,94912.63,USD,29/07/2025
14244112-1,Daniela Morales,TX-000017,17182120-4,Camila Rodriguez,001,Banco Estado,132011.52,CLP,08/08/2025
16820599-5,Francisco Sepulveda,TX-000018,18557992-6,Valentina Rodriguez,003,Santander,335659.25,CLP,14/07/2025
11939397-1,Cristian Torres,TX-000019,22279647-1,Jose Vargas,001,Banco Estado,237664.59,CLP,26/07/2025
11327955-5,Ricardo Silva,TX-000020,18660205-6,Nicole Rojas,002,Banco Chile,341191.48,CLP,31/07/2025
16996308-3,Camila Castillo,TX-000021,14497722-1,Ricardo Soto,002,Banco Chile,112087.76,CLP,08/08/2025
12728267-3,Andres Fuentes,TX-000022,20672667-6,Felipe Martinez,004,BCI,473613.98,CLP,26/07/2025
20660976-9,Carolina Fuentes,TX-000023,24725984-3,Francisco Muñoz,001,Banco Estado,196155.04,CLP,23/07/2025
22665874-3,Alejandra Sepulveda,TX-000024,22907259-1,Andres Lopez,002,Banco Chile,11771.39,CLP,21/07/2025
24663417-8,Nicole Lopez,TX-000025,11989190-5,Felipe Reyes,002,Banco Chile,231603.67,CLP,16/07/2025
23653014-6,Carlos Gonzalez,TX-000026,20911570-4,Paula Sepulveda,003,Santander,440881.38,USD,21/07/2025
17870661-3,Ricardo Torres,TX-000027,10455145-1,Valentina Fuentes,003,Santander,24090.06,USD,17/07/2025
23936118-6,Manuel Silva,TX-000028,16872735-7,Katherine Diaz,003,Santander,264016.21,USD,20/07/2025
